# Version 2.1 - nm, norm@500 to 1, cut digits, bergeron_15000_80.dat_15000
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 2.286
300.10 2.284
300.20 2.282
300.30 2.28
300.40 2.279
300.50 2.277
300.60 2.275
300.70 2.273
300.80 2.271
300.90 2.27
301.00 2.268
301.10 2.266
301.20 2.264
301.30 2.263
301.40 2.261
301.50 2.259
301.60 2.257
301.70 2.255
301.80 2.254
301.90 2.252
302.00 2.25
302.10 2.248
302.20 2.247
302.30 2.245
302.40 2.243
302.50 2.241
302.60 2.24
302.70 2.238
302.80 2.236
302.90 2.234
303.00 2.233
303.10 2.231
303.20 2.229
303.30 2.227
303.40 2.226
303.50 2.224
303.60 2.222
303.70 2.22
303.80 2.219
303.90 2.217
304.00 2.215
304.10 2.213
304.20 2.212
304.30 2.21
304.40 2.208
304.50 2.207
304.60 2.205
304.70 2.203
304.80 2.201
304.90 2.2
305.00 2.198
305.10 2.196
305.20 2.195
305.30 2.193
305.40 2.191
305.50 2.19
305.60 2.188
305.70 2.186
305.80 2.184
305.90 2.183
306.00 2.181
306.10 2.179
306.20 2.178
306.30 2.176
306.40 2.174
306.50 2.173
306.60 2.171
306.70 2.169
306.80 2.168
306.90 2.166
307.00 2.164
307.10 2.163
307.20 2.161
307.30 2.159
307.40 2.158
307.50 2.156
307.60 2.154
307.70 2.153
307.80 2.151
307.90 2.149
308.00 2.148
308.10 2.146
308.20 2.144
308.30 2.143
308.40 2.141
308.50 2.139
308.60 2.138
308.70 2.136
308.80 2.134
308.90 2.133
309.00 2.131
309.10 2.129
309.20 2.128
309.30 2.126
309.40 2.125
309.50 2.123
309.60 2.121
309.70 2.12
309.80 2.118
309.90 2.116
310.00 2.115
310.10 2.113
310.20 2.112
310.30 2.11
310.40 2.108
310.50 2.107
310.60 2.105
310.70 2.103
310.80 2.102
310.90 2.1
311.00 2.099
311.10 2.097
311.20 2.095
311.30 2.094
311.40 2.092
311.50 2.091
311.60 2.089
311.70 2.087
311.80 2.086
311.90 2.084
312.00 2.083
312.10 2.081
312.20 2.079
312.30 2.078
312.40 2.076
312.50 2.075
312.60 2.073
312.70 2.072
312.80 2.07
312.90 2.068
313.00 2.067
313.10 2.065
313.20 2.064
313.30 2.062
313.40 2.061
313.50 2.059
313.60 2.057
313.70 2.056
313.80 2.054
313.90 2.053
314.00 2.051
314.10 2.05
314.20 2.048
314.30 2.047
314.40 2.045
314.50 2.043
314.60 2.042
314.70 2.04
314.80 2.039
314.90 2.037
315.00 2.036
315.10 2.034
315.20 2.033
315.30 2.031
315.40 2.03
315.50 2.028
315.60 2.026
315.70 2.025
315.80 2.023
315.90 2.022
316.00 2.02
316.10 2.019
316.20 2.017
316.30 2.016
316.40 2.014
316.50 2.013
316.60 2.011
316.70 2.01
316.80 2.008
316.90 2.007
317.00 2.005
317.10 2.004
317.20 2.002
317.30 2.001
317.40 1.999
317.50 1.998
317.60 1.996
317.70 1.995
317.80 1.993
317.90 1.992
318.00 1.99
318.10 1.989
318.20 1.987
318.30 1.986
318.40 1.984
318.50 1.983
318.60 1.981
318.70 1.98
318.80 1.978
318.90 1.977
319.00 1.975
319.10 1.974
319.20 1.972
319.30 1.971
319.40 1.969
319.50 1.968
319.60 1.966
319.70 1.965
319.80 1.964
319.90 1.962
320.00 1.961
320.10 1.959
320.20 1.958
320.30 1.956
320.40 1.955
320.50 1.953
320.60 1.952
320.70 1.95
320.80 1.949
320.90 1.947
321.00 1.946
321.10 1.945
321.20 1.943
321.30 1.942
321.40 1.94
321.50 1.939
321.60 1.937
321.70 1.936
321.80 1.934
321.90 1.933
322.00 1.932
322.10 1.93
322.20 1.929
322.30 1.927
322.40 1.926
322.50 1.924
322.60 1.923
322.70 1.922
322.80 1.92
322.90 1.919
323.00 1.917
323.10 1.916
323.20 1.914
323.30 1.913
323.40 1.912
323.50 1.91
323.60 1.909
323.70 1.907
323.80 1.906
323.90 1.905
324.00 1.903
324.10 1.902
324.20 1.9
324.30 1.899
324.40 1.897
324.50 1.896
324.60 1.895
324.70 1.893
324.80 1.892
324.90 1.89
325.00 1.889
325.10 1.888
325.20 1.886
325.30 1.885
325.40 1.884
325.50 1.882
325.60 1.881
325.70 1.879
325.80 1.878
325.90 1.877
326.00 1.875
326.10 1.874
326.20 1.872
326.30 1.871
326.40 1.87
326.50 1.868
326.60 1.867
326.70 1.866
326.80 1.864
326.90 1.863
327.00 1.861
327.10 1.86
327.20 1.859
327.30 1.857
327.40 1.856
327.50 1.855
327.60 1.853
327.70 1.852
327.80 1.851
327.90 1.849
328.00 1.848
328.10 1.847
328.20 1.845
328.30 1.844
328.40 1.842
328.50 1.841
328.60 1.84
328.70 1.838
328.80 1.837
328.90 1.836
329.00 1.834
329.10 1.833
329.20 1.832
329.30 1.83
329.40 1.829
329.50 1.828
329.60 1.826
329.70 1.825
329.80 1.824
329.90 1.822
330.00 1.821
330.10 1.82
330.20 1.818
330.30 1.817
330.40 1.816
330.50 1.814
330.60 1.813
330.70 1.812
330.80 1.81
330.90 1.809
331.00 1.808
331.10 1.807
331.20 1.805
331.30 1.804
331.40 1.803
331.50 1.801
331.60 1.8
331.70 1.799
331.80 1.797
331.90 1.796
332.00 1.795
332.10 1.793
332.20 1.792
332.30 1.791
332.40 1.79
332.50 1.788
332.60 1.787
332.70 1.786
332.80 1.784
332.90 1.783
333.00 1.782
333.10 1.781
333.20 1.779
333.30 1.778
333.40 1.777
333.50 1.775
333.60 1.774
333.70 1.773
333.80 1.772
333.90 1.77
334.00 1.769
334.10 1.768
334.20 1.766
334.30 1.765
334.40 1.764
334.50 1.763
334.60 1.761
334.70 1.76
334.80 1.759
334.90 1.758
335.00 1.756
335.10 1.755
335.20 1.754
335.30 1.752
335.40 1.751
335.50 1.75
335.60 1.749
335.70 1.747
335.80 1.746
335.90 1.745
336.00 1.744
336.10 1.742
336.20 1.741
336.30 1.74
336.40 1.739
336.50 1.737
336.60 1.736
336.70 1.735
336.80 1.734
336.90 1.732
337.00 1.731
337.10 1.73
337.20 1.729
337.30 1.727
337.40 1.726
337.50 1.725
337.60 1.724
337.70 1.723
337.80 1.721
337.90 1.72
338.00 1.719
338.10 1.718
338.20 1.716
338.30 1.715
338.40 1.714
338.50 1.713
338.60 1.711
338.70 1.71
338.80 1.709
338.90 1.708
339.00 1.707
339.10 1.705
339.20 1.704
339.30 1.703
339.40 1.702
339.50 1.701
339.60 1.699
339.70 1.698
339.80 1.697
339.90 1.696
340.00 1.694
340.10 1.693
340.20 1.692
340.30 1.691
340.40 1.69
340.50 1.688
340.60 1.687
340.70 1.686
340.80 1.685
340.90 1.684
341.00 1.682
341.10 1.681
341.20 1.68
341.30 1.679
341.40 1.678
341.50 1.677
341.60 1.675
341.70 1.674
341.80 1.673
341.90 1.672
342.00 1.671
342.10 1.669
342.20 1.668
342.30 1.667
342.40 1.666
342.50 1.665
342.60 1.663
342.70 1.662
342.80 1.661
342.90 1.66
343.00 1.659
343.10 1.658
343.20 1.656
343.30 1.655
343.40 1.654
343.50 1.653
343.60 1.652
343.70 1.651
343.80 1.649
343.90 1.648
344.00 1.647
344.10 1.646
344.20 1.645
344.30 1.644
344.40 1.642
344.50 1.641
344.60 1.64
344.70 1.639
344.80 1.638
344.90 1.637
345.00 1.636
345.10 1.634
345.20 1.633
345.30 1.632
345.40 1.631
345.50 1.63
345.60 1.629
345.70 1.628
345.80 1.626
345.90 1.625
346.00 1.624
346.10 1.623
346.20 1.622
346.30 1.621
346.40 1.62
346.50 1.618
346.60 1.617
346.70 1.616
346.80 1.615
346.90 1.614
347.00 1.613
347.10 1.612
347.20 1.61
347.30 1.609
347.40 1.608
347.50 1.607
347.60 1.606
347.70 1.605
347.80 1.604
347.90 1.603
348.00 1.601
348.10 1.6
348.20 1.599
348.30 1.598
348.40 1.597
348.50 1.596
348.60 1.595
348.70 1.594
348.80 1.593
348.90 1.591
349.00 1.59
349.10 1.589
349.20 1.588
349.30 1.587
349.40 1.586
349.50 1.585
349.60 1.584
349.70 1.583
349.80 1.581
349.90 1.58
350.00 1.579
350.10 1.578
350.20 1.577
350.30 1.576
350.40 1.575
350.50 1.574
350.60 1.573
350.70 1.572
350.80 1.571
350.90 1.569
351.00 1.568
351.10 1.567
351.20 1.566
351.30 1.565
351.40 1.564
