# Version 2.1 - nm, norm@500 to 1, cut digits, bergeron_He_10000_80.dat_10000
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 1.994925
300.10 1.994518
300.20 1.994098
300.30 1.993696
300.40 1.993426
300.50 1.993156
300.60 1.992885
300.70 1.992615
300.80 1.992344
300.90 1.992073
301.00 1.991802
301.10 1.991531
301.20 1.99126
301.30 1.990989
301.40 1.990718
301.50 1.990447
301.60 1.990175
301.70 1.989904
301.80 1.989633
301.90 1.989361
302.00 1.989089
302.10 1.98875
302.20 1.988404
302.30 1.988057
302.40 1.987711
302.50 1.987364
302.60 1.987018
302.70 1.986671
302.80 1.986325
302.90 1.985978
303.00 1.985632
303.10 1.985286
303.20 1.984939
303.30 1.984598
303.40 1.984299
303.50 1.984
303.60 1.983701
303.70 1.983402
303.80 1.983103
303.90 1.982803
304.00 1.982504
304.10 1.982205
304.20 1.981906
304.30 1.981606
304.40 1.981307
304.50 1.981008
304.60 1.980686
304.70 1.980363
304.80 1.980039
304.90 1.979715
305.00 1.979392
305.10 1.979068
305.20 1.978744
305.30 1.97842
305.40 1.978097
305.50 1.977773
305.60 1.977449
305.70 1.977126
305.80 1.976802
305.90 1.976478
306.00 1.976154
306.10 1.975831
306.20 1.975507
306.30 1.975183
306.40 1.974837
306.50 1.974483
306.60 1.97413
306.70 1.973777
306.80 1.973424
306.90 1.97307
307.00 1.972717
307.10 1.972364
307.20 1.972011
307.30 1.971658
307.40 1.971305
307.50 1.970952
307.60 1.970599
307.70 1.970246
307.80 1.969894
307.90 1.969541
308.00 1.969188
308.10 1.968835
308.20 1.968483
308.30 1.96813
308.40 1.967778
308.50 1.967425
308.60 1.967073
308.70 1.96672
308.80 1.966374
308.90 1.966043
309.00 1.965748
309.10 1.965452
309.20 1.965157
309.30 1.964861
309.40 1.964549
309.50 1.964137
309.60 1.963725
309.70 1.963313
309.80 1.962902
309.90 1.96249
310.00 1.962079
310.10 1.961667
310.20 1.961256
310.30 1.960845
310.40 1.960488
310.50 1.960191
310.60 1.959894
310.70 1.959596
310.80 1.959299
310.90 1.959001
311.00 1.958681
311.10 1.958362
311.20 1.958042
311.30 1.957696
311.40 1.957277
311.50 1.956859
311.60 1.95644
311.70 1.956022
311.80 1.955604
311.90 1.955186
312.00 1.954768
312.10 1.95435
312.20 1.954056
312.30 1.95387
312.40 1.953587
312.50 1.953073
312.60 1.952603
312.70 1.952133
312.80 1.951663
312.90 1.951281
313.00 1.950994
313.10 1.950707
313.20 1.950419
313.30 1.95009
313.40 1.94964
313.50 1.94919
313.60 1.948741
313.70 1.948292
313.80 1.947843
313.90 1.947394
314.00 1.946946
314.10 1.946596
314.20 1.946247
314.30 1.945898
314.40 1.945549
314.50 1.9452
314.60 1.944852
314.70 1.944503
314.80 1.944114
314.90 1.943631
315.00 1.943169
315.10 1.942792
315.20 1.942415
315.30 1.942038
315.40 1.941661
315.50 1.941284
315.60 1.940907
315.70 1.94053
315.80 1.940154
315.90 1.939777
316.00 1.939401
316.10 1.939025
316.20 1.938648
316.30 1.937989
316.40 1.937613
316.50 1.937237
316.60 1.937144
316.70 1.936486
316.80 1.935828
316.90 1.935453
317.00 1.935078
317.10 1.934703
317.20 1.934328
317.30 1.934079
317.40 1.933784
317.50 1.933358
317.60 1.932932
317.70 1.932506
317.80 1.93208
317.90 1.931602
318.00 1.930989
318.10 1.930615
318.20 1.930241
318.30 1.929868
318.40 1.929494
318.50 1.92912
318.60 1.928529
318.70 1.928435
318.80 1.927783
318.90 1.927214
319.00 1.927181
319.10 1.92653
319.20 1.925964
319.30 1.92564
319.40 1.925316
319.50 1.924992
319.60 1.924436
319.70 1.923966
319.80 1.923495
319.90 1.923025
320.00 1.922603
320.10 1.922231
320.20 1.922014
320.30 1.921367
320.40 1.921271
320.50 1.920624
320.60 1.920374
320.70 1.920003
320.80 1.919566
320.90 1.919058
321.00 1.91855
321.10 1.918042
321.20 1.917951
321.30 1.917517
321.40 1.917084
321.50 1.91665
321.60 1.916216
321.70 1.915783
321.80 1.915341
321.90 1.91489
322.00 1.91409
322.10 1.913649
322.20 1.913208
322.30 1.912767
322.40 1.912326
322.50 1.911886
322.60 1.911446
322.70 1.911006
322.80 1.910941
322.90 1.910481
323.00 1.910022
323.10 1.909563
323.20 1.909104
323.30 1.908645
323.40 1.908187
323.50 1.907728
323.60 1.90727
323.70 1.906812
323.80 1.906355
323.90 1.905897
324.00 1.905442
324.10 1.904988
324.20 1.904534
324.30 1.904072
324.40 1.903605
324.50 1.903158
324.60 1.90271
324.70 1.902263
324.80 1.901816
324.90 1.901369
325.00 1.900922
325.10 1.900475
325.20 1.900037
325.30 1.899615
325.40 1.899193
325.50 1.89874
325.60 1.898246
325.70 1.897754
325.80 1.897261
325.90 1.89681
326.00 1.896405
326.10 1.896
326.20 1.895594
326.30 1.895212
326.40 1.894895
326.50 1.89443
326.60 1.893965
326.70 1.893501
326.80 1.893036
326.90 1.892572
327.00 1.892108
327.10 1.891644
327.20 1.891181
327.30 1.890717
327.40 1.890254
327.50 1.889791
327.60 1.889329
327.70 1.888866
327.80 1.888404
327.90 1.887856
328.00 1.887293
328.10 1.886823
328.20 1.886354
328.30 1.885885
328.40 1.885416
328.50 1.884996
328.60 1.884588
328.70 1.88418
328.80 1.883753
328.90 1.883273
329.00 1.882794
329.10 1.882314
329.20 1.881835
329.30 1.881355
329.40 1.880877
329.50 1.880398
329.60 1.879919
329.70 1.879441
329.80 1.878963
329.90 1.878486
330.00 1.878006
330.10 1.877523
330.20 1.87704
330.30 1.876558
330.40 1.876078
330.50 1.875602
330.60 1.875125
330.70 1.874649
330.80 1.874173
330.90 1.873697
331.00 1.873221
331.10 1.872746
331.20 1.872271
331.30 1.871796
331.40 1.871321
331.50 1.870832
331.60 1.870325
331.70 1.869818
331.80 1.869337
331.90 1.868858
332.00 1.868379
332.10 1.867901
332.20 1.867422
332.30 1.866944
332.40 1.866466
332.50 1.865989
332.60 1.865511
332.70 1.865034
332.80 1.864557
332.90 1.864081
333.00 1.863604
333.10 1.863137
333.20 1.862683
333.30 1.862228
333.40 1.861774
333.50 1.86132
333.60 1.860866
333.70 1.860412
333.80 1.859959
333.90 1.859506
334.00 1.859053
334.10 1.858569
334.20 1.858049
334.30 1.857529
334.40 1.857009
334.50 1.85649
334.60 1.855971
334.70 1.855405
334.80 1.8549
334.90 1.854564
335.00 1.854228
335.10 1.85351
335.20 1.852909
335.30 1.852585
335.40 1.851984
335.50 1.851446
335.60 1.851098
335.70 1.850523
335.80 1.850175
335.90 1.84977
336.00 1.849296
336.10 1.848823
336.20 1.84835
336.30 1.847858
336.40 1.847344
336.50 1.84683
336.60 1.846316
336.70 1.845803
336.80 1.84529
336.90 1.844793
337.00 1.844315
337.10 1.843838
337.20 1.843362
337.30 1.842872
337.40 1.842365
337.50 1.841857
337.60 1.84135
337.70 1.840843
337.80 1.840337
337.90 1.839828
338.00 1.839316
338.10 1.838805
338.20 1.838293
338.30 1.837782
338.40 1.837266
338.50 1.836738
338.60 1.83621
338.70 1.835682
338.80 1.835154
338.90 1.834627
339.00 1.8341
339.10 1.833573
339.20 1.833047
339.30 1.832602
339.40 1.832275
339.50 1.831864
339.60 1.831351
339.70 1.830838
339.80 1.830325
339.90 1.829812
340.00 1.829299
340.10 1.828787
340.20 1.828276
340.30 1.827764
340.40 1.827253
340.50 1.826742
340.60 1.826231
340.70 1.825721
340.80 1.825185
340.90 1.824611
341.00 1.824062
341.10 1.82354
341.20 1.823019
341.30 1.822498
341.40 1.821977
341.50 1.821457
341.60 1.820937
341.70 1.820417
341.80 1.819909
341.90 1.819415
342.00 1.818921
342.10 1.818427
342.20 1.818062
342.30 1.81752
342.40 1.816896
342.50 1.816403
342.60 1.81591
342.70 1.815417
342.80 1.814924
342.90 1.814431
343.00 1.813899
343.10 1.813319
343.20 1.812738
343.30 1.812158
343.40 1.811614
343.50 1.811119
343.60 1.810625
343.70 1.810131
343.80 1.809637
343.90 1.809144
344.00 1.808667
344.10 1.808214
344.20 1.807762
344.30 1.807309
344.40 1.806808
344.50 1.806237
344.60 1.805482
344.70 1.80515
